ArtNr;Alt_ArtNr;Weitere_ArtNr;Raumcode;Bezeichnung;Beschreibung;Kategorie;Marke;Bündel;Raum;Menge;Einheit;Zustand;Maße;Foto;Wertklasse;Aktiv;Im_Katalog;Preis_netto;Preisbasis;Versand;Mengenhinweis;Anlagennr;Anschaffungswert_netto;Status;Kanal;Reserviert_für;Verkauft_Menge;Verkaufspreis_netto;Verkaufsdatum;Käufer;Rechnungsnr;Zahlung;Zahlart;Abholtermin;Klinik_Markierung;Bemerkung
NU02-18;;;NU02;Sitztier Elefant, weiß und schwarz;Sitztier in Elefantenform aus Kunststoff, ein weißes und ein schwarzes Exemplar in gleicher Größe. Am Ohr ein ovales Metallplättchen mit eingravierter Signatur.;Deko;;;Gruppenraum 5;2;Stück;gebraucht;;F-163;A;ja;nein;180,00;VHB;nur Abholung;"2 Elefanten, weiß und schwarz. Abgebildet ist der weiße; der schwarze wird nachfotografiert. Ein kleinerer schwarzer folgt als eigene Position.";;;verfügbar;;;;;;;;;;;;"OFFEN: NICHT VEROEFFENTLICHEN, bis die Marke geklaert ist: Form und Signaturplaettchen sprechen fuer einen Vitra Eames Elephant (gebraucht 150-280 EUR je Stueck), ein Nachbau waere 20-40 EUR wert. Nahaufnahme des Plaettchens und der Unterseite steht aus; die Nutzerin liefert sie am Ende des Rundgangs. Der kleinere schwarze wird dann eine eigene Position."
NU02-19;;;NU02;Schrank weiß, zwei Türen;Hoher Schrank in Weiß mit zwei Türen und schwarzen Griffmulden, beschriftet.;Möbel;;;Gruppenraum 5;1;Stück;gebraucht;;F-165;B;ja;ja;70,00;VHB;nur Abholung;1 Schrank. Foto F-167 zeigt ihn neben NU02-20, das gibt die Größe.;;;verfügbar;;;;;;;;;;;;
NU02-20;;;NU02;Schrank weiß mit zwei Schubladen;Schrank in Weiß mit zwei Türen oben und zwei großen Schubladen mit ovalen Griffmulden darunter, beschriftet.;Möbel;;;Gruppenraum 5;1;Stück;gebraucht;;F-166;B;ja;ja;90,00;VHB;nur Abholung;1 Schrank. Foto F-167 zeigt ihn neben NU02-19, das gibt die Größe.;;;verfügbar;;;;;;;;;;;;
NU02-21;;;NU02;Regal weiß, hoch, drei Fächer;Hohes offenes Regal in Weiß mit drei Fächern und verstellbaren Böden. Die Rückwand ist auf Höhe des mittleren Bodens ausgebrochen.;Möbel;;;Gruppenraum 5;1;Stück;stark gebraucht;;F-168;C;ja;ja;25,00;VHB;nur Abholung;1 Regal. Der Inhalt gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU02-22;;;NU02;Acrylbild schwarz-weiß, abstrakt;Acryl auf Leinwand, abstrakte schwarz-weiße Komposition mit breitem Pinselzug und Farbspritzern. Eigenarbeit einer Privatperson, nicht signiert.;Kunst;;;Gruppenraum 5;3;Stück;gut;;F-169;B;ja;ja;80,00;VHB;Versand möglich;3 Bilder in unterschiedlichen Formaten: ein großes quadratisches (abgebildet) und zwei kleinere im Querformat, siehe Foto F-170.;;;verfügbar;;;;;;;;;;;;
NU02-23;;;NU02;Kindertisch weiß aus vier Segmenten;Vier trapezförmige Tischsegmente mit weißer Platte, Multiplex-Kante und verchromten Rundfüßen in Kinderhöhe. Zusammengestellt ergeben sie einen großen Gruppentisch, einzeln sind sie frei kombinierbar.;Möbel;;;Gruppenraum 5;1;Set;gebraucht;;F-171;A;ja;ja;160,00;VHB;nur Abholung;1 Tischgruppe aus vier Segmenten.;;;verfügbar;;;;;;;;;;;;
NU02-24;;;NU02;Regal weiß, niedrig, drei Fächer;Niedriges offenes Regal in Weiß mit grauem Boden auf Rundfüßen aus Metall, drei Fächer.;Möbel;;;Gruppenraum 5;1;Stück;gebraucht;;F-172;B;ja;ja;35,00;VHB;nur Abholung;1 Regal. Der Inhalt (Stiftebecher, Farbkästen, Pinsel) gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU03-02;;;NU03;Stockbett weiß mit Absturzsicherung;Etagenbett in Weiß mit sichtbaren Multiplex-Kanten, abgerundeten Ausschnitten und durchgehender Absturzsicherung oben. Solide Bauweise aus dem Kita-Betrieb. Die Matratzen können auf Wunsch mitgenommen werden.;Kita-Ausstattung;;;Schlafraum 4;4;Stück;gebraucht;;F-175;A;ja;ja;300,00;VHB;nur Abholung;4 Betten, alle aufgebaut: 2 im Schlafraum 4 und 2 in einem weiteren Schlafraum.;;;verfügbar;;;;;;;;;;;;OFFEN: waechst noch. Aus den weiteren Schlafraeumen kommen zusaetzliche Betten dazu - am Ende des Rundgangs auf die Gesamtzahl bringen und die Post-it-Nummern der anderen Raeume in Weitere_ArtNr.
NU03-03;;;NU03;Wesco Spielküche, 5 Module;Spielküche von Wesco aus Birke-Multiplex, fünf Module: Spüle mit Becken, Kochfeld mit Drehknöpfen, Backofen mit Sichtfenster sowie Kühl- und Gefriermodul. Weiße Fronten mit Holzgriffen, die Module stehen frei und sind einzeln aufstellbar.;Kita-Ausstattung;Wesco;;Schlafraum 4;1;Set;gebraucht;;F-176;A;ja;ja;650,00;VHB;nur Abholung;1 Küche aus 5 Modulen, vom Haus bestätigt. Eine zweite, anders zusammengesetzte Wesco-Küche steht unter NU07-03.;;;verfügbar;;;;;;;;;;;;Wesco ist institutionelle Qualitaet, neu kostet ein Modul 300-600 EUR. Nach dem Vitra Alcove die wertvollste Position.
NU03-04;;;NU03;Wesco Bügelbrett und Wäscheständer, Kindergröße;Kinder-Bügelbrett von Wesco aus Birke-Multiplex mit gelbem Aufdruck, klappbar, sowie ein passender Wäscheständer aus Holz mit Schnüren.;Kita-Ausstattung;Wesco;;Schlafraum 4;2;Stück;gebraucht;;F-177;B;ja;ja;35,00;VHB;nur Abholung;2 Teile: ein Bügelbrett und ein Wäscheständer, beide auf Foto F-178 zu sehen.;;;verfügbar;;;;;;;;;;;;
NU03-05;;;NU03;Flumi Kindersessel, beige Bouclé;Kindersessel von Flumi, beigefarbener Bouclé-Bezug, runde Form mit zwei kleinen Ohren an der Lehne. Markenetikett an der Vorderseite.;Kita-Ausstattung;Flumi;;Schlafraum 4;1;Stück;gebraucht;;F-179;B;ja;ja;60,00;VHB;nur Abholung;1 Sessel.;;;verfügbar;;;;;;;;;;;;
NU03-06;;;NU03;Wandregal Kiefer mit Fächern;Wandregal aus Kiefer massiv mit eingenuteten Trennbrettern, drei Fächer.;Kita-Ausstattung;;;Schlafraum 4;2;Stück;gebraucht;;F-180;B;ja;ja;35,00;VHB;nur Abholung;2 Regale – abgebildet ist eines davon.;;;verfügbar;;;;;;;;;;;;
NU03-07;;;NU03;Offenes Regal Kiefer, drei Fächer;Niedriges offenes Regal aus Kiefer massiv mit eingenuteten Trennbrettern, drei Fächer, zum Stellen oder Stapeln.;Kita-Ausstattung;;;Schlafraum 4;1;Stück;gebraucht;;F-181;B;ja;ja;45,00;VHB;nur Abholung;1 Regal. Der Inhalt gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU03-08;;;NU03;IKEA Malm Kommode, 3 Schubladen, weiß;Kommode IKEA Malm in Weiß mit drei Schubladen, griffmuldenlos. Fronten mit Beschriftungsaufklebern, die sich abziehen lassen.;Möbel;IKEA;;Schlafraum 4;2;Stück;gebraucht;;F-183;B;ja;ja;50,00;VHB;nur Abholung;2 Kommoden – abgebildet ist eine davon, die zweite steht rechts daneben.;;;verfügbar;;;;;;;;;;;;
NU03-09;;;NU03;Treppenregal Kiefer mit Wannen;Stufenförmiges Regal aus Kiefer massiv mit eingehängten Kunststoffwannen, als Raumteiler und Spielzeugaufbewahrung genutzt.;Kita-Ausstattung;;;Schlafraum 4;2;Stück;gebraucht;;F-182;B;ja;ja;60,00;VHB;nur Abholung;2 Regale einschließlich der eingehängten Wannen – abgebildet ist eines davon. Der Inhalt der Wannen gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU03-10;;;NU03;IKEA Kinderhochstuhl mit Gurt;Kinderhochstuhl von IKEA: weiße Kunststoffschale, graue Stahlbeine, Sicherheitsgurt. Ohne Esstablett.;Kita-Ausstattung;IKEA;;Schlafraum 4;9;Stück;gebraucht;;F-184;C;ja;ja;10,00;VHB;nur Abholung;9 Stühle – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;OFFEN: waechst noch. Aus weiteren Raeumen kommen zusaetzliche Hochstuehle dazu - am Ende des Rundgangs auf die Gesamtzahl bringen und die Post-it-Nummern der anderen Raeume in Weitere_ArtNr.
NU04-07;;;NU04;IKEA Agam Kinderstuhl, schwarz;Kinderstuhl IKEA Agam aus Massivholz, schwarz lackiert, mit Sprossenlehne. Etikett an der Unterseite: Agam, Herstelldatum 2019. Sitzfläche mit Kratzern.;Kita-Ausstattung;IKEA;;Schlafraum 5;13;Stück;gebraucht;;F-188;C;ja;ja;20,00;VHB;nur Abholung;13 Stühle – abgebildet ist einer davon, das Etikett auf Foto F-189.;;;verfügbar;;;;;;;;;;;;
NU04-08;;;NU04;IKEA Urban Kinderstuhl, Kunststoff;Kinderstuhl IKEA Urban, Sitzschale aus Kunststoff mit Fußstütze am Gestell. Etikett an der Unterseite: Urban, 001.652.13.;Kita-Ausstattung;IKEA;;Schlafraum 5;7;Stück;gebraucht;;F-190;C;ja;ja;12,00;VHB;nur Abholung;7 Stühle – abgebildet ist einer davon, das Etikett auf Foto F-191.;;;verfügbar;;;;;;;;;;;;Farbe klaeren: auf dem Erfassungsblatt steht weiss, das Foto wirkt hellgrau-gruen.
NU04-09;;NU05-05, NU07-06, BA04-03;NU04;IKEA Regal weiß, 8 Fächer;Regal IKEA in Weiß mit acht Fächern, liegend oder stehend nutzbar.;Möbel;IKEA;;Schlafraum 5;8;Stück;gebraucht;;F-192;B;ja;ja;40,00;VHB;nur Abholung;8 Regale insgesamt: 3 im Schlafraum 5, 1 im Treppenraum 1 (NU05-05), 1 in der Garage (NU07-06) und 3 im Gruppenraum 4 (BA04-03).;;;verfügbar;;;;;;;;;;;;Zusammengefasste Position über vier Räume – Post-it-Nummern: NU05-05, NU07-06, BA04-03.
NU04-10;;;NU04;Schalenstuhl weiß mit Sitzpolster und Holzbeinen;Schalenstuhl mit weißer Schale und fest verbundenem Sitzpolster, konische Beine aus braunem Massivholz.;Möbel;;;Schlafraum 5;4;Stück;gebraucht;;F-193;B;ja;ja;30,00;VHB;nur Abholung;4 Stühle – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;
NU04-11;;;NU04;IKEA Stuva Tisch weiß;Tisch beziehungsweise Sitzbank IKEA Stuva in Weiß mit Seitenwangen und Gleitern. Etikett an der Unterseite: Stuva.;Möbel;IKEA;;Schlafraum 5;2;Stück;gebraucht;;F-194;C;ja;ja;25,00;VHB;nur Abholung;2 Stück – abgebildet ist eines davon, das Etikett auf Foto F-195.;;;verfügbar;;;;;;;;;;;;
NU04-13;;;NU04;Kindertisch rund weiß mit Holzbeinen;Runder Kindertisch, weiße Platte auf konischen Beinen aus massivem Holz. Die Plattenkante ist an einer Stelle beschädigt und dunkel abgestoßen.;Kita-Ausstattung;;;Schlafraum 5;1;Stück;stark gebraucht;;F-197;B;ja;ja;45,00;VHB;nur Abholung;1 Tisch.;;;verfügbar;;;;;;;;;;;;
NU04-14;;;NU04;Raumteiler Metallgitter, schwarz;Freistehender Raumteiler: schwarz beschichtetes Metallgitter mit Rautenmuster auf ovalem Standfuß. Auch als Rankgitter oder zum Aufhängen nutzbar.;Möbel;;;Schlafraum 5;1;Stück;gebraucht;;F-198;B;ja;ja;50,00;VHB;nur Abholung;1 Raumteiler.;;;verfügbar;;;;;;;;;;;;
NU04-15;;;NU04;IKEA Regal weiß, 3 Fächer, schmal;Schmales hohes Regal IKEA in Weiß mit drei Fächern.;Möbel;IKEA;;Schlafraum 5;1;Stück;gebraucht;;F-200;C;ja;ja;25,00;VHB;nur Abholung;1 Regal. Die Bücher gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU04-16;;;NU04;Bällebad mit Bällen;Bällebad in Quadratform: Polsterrand in Grau, Sockel in weißem Kunstleder mit Rautennaht, einschließlich der Bälle in Grau, Weiß und Bunt.;Kita-Ausstattung;;;Schlafraum 5;1;Stück;gebraucht;;F-202;B;ja;ja;75,00;VHB;nur Abholung;1 Bällebad einschließlich der Bälle, vom Haus bestätigt.;;;verfügbar;;;;;;;;;;;;
NU04-17;;BA04-08;NU04;Spielregal Kiefer mit Wannen und Wandaufsatz;Werkbankhohes Gestell aus Kiefer massiv mit weißen Kunststoffwannen und durchgehender Arbeitsplatte, dazu ein passender Wandaufsatz mit sechs Wannen.;Kita-Ausstattung;;;Schlafraum 5;4;Stück;gebraucht;;F-203;B;ja;ja;70,00;VHB;nur Abholung;4 Einheiten, jeweils Unterteil und Wandaufsatz: 2 im Schlafraum 5 und 2 im Gruppenraum 4 (dort mit BA04-08 beschriftet). Der Inhalt der Wannen gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;Zusammengefasste Position – Post-it-Nummer im zweiten Raum: BA04-08.
NU04-18;;;NU04;Kinderwerkbank Holz mit Tafel;Kinderwerkbank aus Holz mit Lochplatte, drei Werkzeugkästen, Tafellackfläche oben, Zollstockaufdruck an der Kante und Ablage unten. Einschließlich der Wandaufhängung.;Kita-Ausstattung;;;Schlafraum 5;1;Stück;gebraucht;;F-204;B;ja;ja;35,00;VHB;nur Abholung;1 Werkbank einschließlich Wandaufhängung. Werkzeug, Helm und Zubehör gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU04-19;;;NU04;IKEA Kleiderschrank weiß mit drei Böden;Hoher Schrank IKEA in Weiß mit zwei Türen, ovalen Griffmulden und drei Einlegeböden.;Möbel;IKEA;;Schlafraum 5;2;Stück;gebraucht;;F-205;B;ja;ja;60,00;VHB;nur Abholung;2 Schränke – abgebildet ist einer davon, innen auf Foto F-206.;;;verfügbar;;;;;;;;;;;;
NU04-20;;;NU04;Freischwinger schwarz, Kunststoff;Freischwinger aus einem Stück Kunststoff, schwarz matt, S-förmig geschwungen. Erwachsenengröße.;Möbel;;;Schlafraum 5;1;Stück;gebraucht;;F-208;A;ja;nein;180,00;VHB;nur Abholung;1 Stuhl.;;;verfügbar;;;;;;;;;;;;OFFEN: NICHT VEROEFFENTLICHEN, bis die Marke geklaert ist. Die Form ist der Panton Chair von Verner Panton, Original von Vitra - gebraucht 120-250 EUR, ein Nachbau 30-50 EUR. Das Original traegt auf der Unterseite eine eingeformte Vitra-Kennzeichnung. Nahaufnahme der Unterseite anfordern, dann entscheiden.
NU04-21;;;NU04;Spieltisch Kiefer mit abnehmbaren Platten;Tisch aus Kiefer massiv mit zwei abnehmbaren weißen Kunststoffplatten. Darunter lässt sich eine Wanne einsetzen, im Haus für Bausteine und Sandspiel genutzt.;Kita-Ausstattung;;;Schlafraum 5;1;Stück;gebraucht;;F-209;B;ja;ja;60,00;VHB;nur Abholung;1 Tisch mit Platten und Wanne. Der Inhalt gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU04-22;;;NU04;Wandregal weiß, schmal;Schmales weißes Wandregal, sichtbar verschraubt.;Möbel;;;Schlafraum 5;3;Stück;gebraucht;;F-210;C;ja;ja;10,00;VHB;nur Abholung;3 Regale – abgebildet sind zwei davon.;;;verfügbar;;;;;;;;;;;;
NU05-01;;;NU05;Mitwachsender Treppenhochstuhl, weiß;Treppenhochstuhl aus Buche mit weißen Sitz- und Rückenplatten, Sitz und Fußbrett in der Höhe verstellbar. Die Seitenwangen tragen Lochreihen für die Verstellung.;Kita-Ausstattung;;;Treppenraum 1;6;Stück;gebraucht;;F-213;B;ja;nein;90,00;VHB;nur Abholung;6 Stühle – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;"OFFEN: NICHT VEROEFFENTLICHEN, bis die Marke geklaert ist. Auf dem Erfassungsblatt steht ""Tripptrapp"". Der Stokke Tripp Trapp hat in den Seitenwangen durchgehende Nuten, dieser Stuhl hat Lochreihen - das spricht gegen ein Original. Ein Stokke bringt gebraucht 100-150 EUR, ein Nachbau 25-40 EUR; bei 6 Stueck sind das 150 bis 900 EUR. Marke steht meist auf der Seitenwange oder unter dem Sitz - Nahaufnahme anfordern."
NU05-02;;;NU05;Juniorstuhl Holz weiß mit Kreuzlehne;Juniorstuhl aus Massivholz, weiß lackiert, Rückenlehne mit gekreuzten Streben, Fußstütze als Querstrebe. Lack an Kanten und Sitzfläche abgestoßen.;Kita-Ausstattung;;;Treppenraum 1;3;Stück;gebraucht;;F-214;C;ja;ja;25,00;VHB;nur Abholung;3 Stühle – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;
NU05-03;;;NU05;Kindertisch weiß groß mit Holzbeinen;Großer Kindertisch: weiße Platte mit abgerundeten Ecken und Multiplex-Kante auf konischen Beinen aus Buche.;Kita-Ausstattung;;;Treppenraum 1;2;Stück;gebraucht;;F-215;B;ja;ja;90,00;VHB;nur Abholung;2 Tische – abgebildet ist einer davon. Der Inhalt gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU05-04;;;NU05;Regal weiß hoch, vier Böden;Hohes weißes Regal mit vier Einlegeböden, Bohrreihen zum Verstellen.;Möbel;;;Treppenraum 1;1;Stück;gebraucht;;F-216;B;ja;ja;35,00;VHB;nur Abholung;1 Regal.;;;verfügbar;;;;;;;;;;;;
NU05-06;;;NU05;Regal weiß mit zwei Schubladen und zwei Böden;Weißes Regal mit zwei Einlegeböden oben und zwei großen Schubladen mit Griffmulden unten, Front der Schubladen dunkel.;Möbel;;;Treppenraum 1;1;Stück;gebraucht;;F-218;B;ja;ja;60,00;VHB;nur Abholung;1 Regal. Der Inhalt gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU05-07;;;NU05;Mal- und Trockengestell fahrbar;Fahrbares Gestell aus Holz mit acht herausziehbaren Drahtgitter-Einschüben zum Trocknen von Bildern, Griffstange oben, auf Rollen.;Kita-Ausstattung;;;Treppenraum 1;1;Stück;gebraucht;;F-219;B;ja;ja;100,00;VHB;nur Abholung;1 Gestell mit acht Einschüben.;;;verfügbar;;;;;;;;;;;;
NU05-08;;;NU05;Maltafel Holz mit Kreidetafel und Farbablage;Standtafel aus Holz mit schwarzer Kreidetafel, Ablage mit Aussparungen für Farbbecher und Schwamm, Papierrollenhalter oben. Farbspuren am Rahmen.;Kita-Ausstattung;;;Treppenraum 1;1;Stück;gebraucht;;F-220;B;ja;ja;50,00;VHB;nur Abholung;1 Tafel. Schwamm und Becher gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU06-01;;;NU06;Garderobenwand weiß, 13 Plätze;Lange Garderobenwand in Weiß: oben ein durchgehendes Ablagefach, darunter eine Leiste mit 13 Doppelhaken, unten eine Sitzbank mit offenen Schuhfächern. Schreinerarbeit.;Kita-Ausstattung;;;WC;1;Stück;gebraucht;;F-223;A;ja;ja;250,00;VHB;nur Abholung;1 Garderobenwand mit 13 Plätzen. Die Stoffkörbe gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;Foto zeigt einen grauen Balken: dort hingen Fotokarten der Kinder mit Namen. Neues Foto ohne die Karten waere besser.
NU06-02;;;NU06;Garderobenwand weiß, 9 Plätze;Garderobenwand in Weiß: oben ein durchgehendes Ablagefach, darunter eine Leiste mit neun Doppelhaken, unten eine Sitzbank mit offenen Schuhfächern. Schreinerarbeit.;Kita-Ausstattung;;;WC;6;Stück;gebraucht;;F-224;A;ja;ja;180,00;VHB;nur Abholung;6 Garderobenwände mit je 9 Plätzen – abgebildet ist eine davon. Die Stoffkörbe gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU06-03;;;NU06;Hängegarderobe weiß mit Wannen;Wandelement in Weiß mit sechs eingeschobenen Kunststoffwannen, darunter drei rote Doppelhaken.;Kita-Ausstattung;;;WC;3;Stück;gebraucht;;F-225;B;ja;ja;45,00;VHB;nur Abholung;3 Elemente einschließlich der Wannen – abgebildet ist eines davon.;;;verfügbar;;;;;;;;;;;;Foto zeigt zwei graue Balken: dort standen Vornamen auf den Etiketten.
NU06-04;;;NU06;Holzregal weiß, sechs Fächer;Regal aus Holz, weiß gestrichen, sechs Fächer in zwei Reihen. Farbe an Kanten und Fachböden großflächig abgeplatzt.;Kita-Ausstattung;;;WC;2;Stück;stark gebraucht;;F-226;B;ja;ja;30,00;VHB;nur Abholung;2 Regale – abgebildet ist eines davon.;;;verfügbar;;;;;;;;;;;;
NU06-05;;;NU06;Bauknecht Kühl-Gefrierkombination, Standgerät;Standgerät von Bauknecht in Edelstahloptik: Kühlteil oben mit Glasböden, Gemüsefach und Innenbeleuchtung, Gefrierteil unten. No Frost.;Technik;Bauknecht;;WC;1;Stück;gebraucht;;F-227;A;ja;ja;220,00;VHB;nur Abholung;1 Gerät. Der Innenraum ist auf Foto F-228 zu sehen.;;;verfügbar;;;;;;;;;;;;Foto zeigt einen grauen Balken: in der Tuer spiegelte sich eine Person. Neues Foto aus anderem Winkel waere besser.
NU06-06;;;NU06;Schwerlastregal verzinkt, vier Böden;Steckregal aus verzinktem Stahl mit vier Holzböden, höhenverstellbar.;Sonstiges;;;WC;2;Stück;gebraucht;;F-229;B;ja;ja;50,00;VHB;nur Abholung;2 Regale – abgebildet ist eines davon. Der Inhalt gehört nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU06-07;;;NU06;Bild Paris bei Nacht, groß gerahmt;"Großformatiges Bild von Paris bei Nacht mit beleuchtetem Eiffelturm, schwarz-weiß mit goldenen Lichtern, in silberfarbenem Aluminiumrahmen. Aufdruck am unteren Rand: „Paris"" Scanpix/age fotostock, Jean-Marc Charles, gedruckt für IKEA.";Deko;IKEA;;WC;1;Stück;gut;;F-230;C;ja;ja;25,00;VHB;Versand möglich;1 Bild.;;;verfügbar;;;;;;;;;;;;
NU07-01;;;NU07;Hausbett schwarz mit Dach;Kinderbett in Hausform, dunkelbraun-schwarz lackiert, mit Satteldach, Firstbalken und ausgesägten Sprossenfenstern an beiden Seiten. Matratze liegt auf und kann auf Wunsch mitgenommen werden.;Kita-Ausstattung;;;Garage;1;Stück;gebraucht;;F-233;A;ja;ja;180,00;VHB;nur Abholung;1 Bett. Bettwäsche und Kissen gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU07-02;;;NU07;Kaufladen weiß mit Aufsatz;Kaufladen aus Holz, weiß mit grauer Rückwand: Verkaufstheke mit Ablage unten, Aufsatz mit sechs Fächern und geschwungener Blende.;Kita-Ausstattung;;;Garage;1;Stück;gebraucht;;F-234;B;ja;ja;90,00;VHB;nur Abholung;1 Kaufladen. Spiellebensmittel, Kasse und Telefon gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU07-03;;;NU07;Wesco Spielküche, mehrteilig;Zweite Spielküche von Wesco aus Birke-Multiplex: Mikrowellenmodul und Hängeschrank für die Wand, dazu Unterschränke mit Kochfeld, Spülbecken und Herdplatte. Weiße Klappen mit Holzgriffen, Module stehen frei.;Kita-Ausstattung;Wesco;;Garage;1;Set;gebraucht;;F-236;A;ja;ja;650,00;VHB;nur Abholung;1 Küche aus mehreren Modulen, mit Mikrowellenmodul und Hängeschrank. Eine zweite, anders zusammengesetzte Wesco-Küche steht unter NU03-03.;;;verfügbar;;;;;;;;;;;;Nicht baugleich mit NU03-03, vom Haus bestaetigt – bleibt getrennt.
NU07-04;;;NU07;howa Kinderspielgrill;Spielgrill aus Holz von howa: Rollklappe in Alu-Optik, Grillrost, zwei Drehknöpfe mit Digitalanzeige, seitliche Kochstelle und Ablageboden. Farbe an Kanten abgeplatzt.;Kita-Ausstattung;howa;;Garage;1;Stück;gebraucht;;F-237;B;ja;ja;35,00;VHB;nur Abholung;1 Grill.;;;verfügbar;;;;;;;;;;;;
NU07-05;;;NU07;Kinderkleiderschrank Birke mit zwei Türen;Kleiderschrank aus Birke-Multiplex mit zwei weißen Türen und Griffmulden. Innen links eine Kleiderstange, rechts zwei Einlegeböden mit Durchgriff.;Kita-Ausstattung;;;Garage;1;Stück;gebraucht;;F-238;B;ja;ja;140,00;VHB;nur Abholung;1 Schrank. Der Innenraum ist auf Foto F-239 zu sehen.;;;verfügbar;;;;;;;;;;;;
NU07-07;;;NU07;Aufbewahrungsregal weiß mit zehn Einschüben;Schmales hohes Regal in Weiß mit zehn Einschubschienen, für flache Kästen oder Papier.;Kita-Ausstattung;;;Garage;1;Stück;gebraucht;;F-241;B;ja;ja;75,00;VHB;nur Abholung;1 Regal. Die Einschubkästen gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NU07-08;;;NU07;Sitzgruppe: Tisch und zwei Truhenbänke;Sitzgruppe aus einem Kindertisch und zwei Sitzbänken mit Rückenlehne. Die Sitzflächen lassen sich anheben und geben je einen Stauraum frei, gedämpft über eine Gasdruckfeder. Weiße Platten auf Beinen aus Buche.;Kita-Ausstattung;;;Garage;1;Set;gebraucht;;F-242;B;ja;ja;150,00;VHB;nur Abholung;1 Sitzgruppe aus drei Teilen: ein Tisch und zwei Truhenbänke. Der Stauraum unter der Sitzfläche ist auf Foto F-243 zu sehen.;;;verfügbar;;;;;;;;;;;;
NE01-17;;;NE01;Wandregal Berg, grau mit Holzablagen;Wandregal in Bergform, grau lackiert mit gelber Gipfellinie, mit mehreren Ablagebrettern aus Buche. Im Haus als Regal für Hörfiguren genutzt.;Möbel;;;Flur;2;Stück;gebraucht;;F-246;C;ja;ja;20,00;VHB;Versand möglich;2 Regale, beide abgebildet. Figuren und Abspielgerät gehören nicht dazu.;;;verfügbar;;;;;;;;;;;;
NE01-18;;;NE01;Highboard weiß auf schwarzem Metallgestell;Highboard mit weißen Fronten: zwei Türen oben, zwei breite Schubladen unten, flache schwarze Griffleisten, auf einem schwarzen Metallkufengestell.;Möbel;;;Flur;1;Stück;gebraucht;;F-247;B;ja;ja;150,00;VHB;nur Abholung;1 Highboard.;;;verfügbar;;;;;;;;;;;;
NE01-19;;;NE01;Stoff-Alpaka groß;Großes Stofftier in Alpakaform, beiger Bouclé-Bezug, standfest. Etwa einen Meter hoch.;Deko;;;Flur;1;Stück;gebraucht;;F-248;B;ja;ja;55,00;VHB;nur Abholung;1 Stück.;;;verfügbar;;;;;;;;;;;;
NE01-20;;;NE01;Kinder-Ohrensessel rot, Kunstleder;Ohrensessel in Kindergröße, roter Kunstlederbezug, geschwungene schwarze Holzbeine. An einer Armlehne ist der Bezug aufgerissen.;Möbel;;;Flur;2;Stück;stark gebraucht;;F-249;B;ja;ja;55,00;VHB;nur Abholung;2 Sessel – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;
NE01-21;;;NE01;Wandregal weiß mit drei Wannen;Weißes Wandelement mit drei Fächern und eingeschobenen Kunststoffwannen.;Kita-Ausstattung;;;Flur;12;Stück;gebraucht;;F-250;B;ja;ja;35,00;VHB;nur Abholung;12 Regale einschließlich der Wannen – abgebildet ist eines davon. Die Hundehaken darunter sind eigene Positionen (NE01-22 und NE01-23).;;;verfügbar;;;;;;;;;;;;
NE01-22;;;NE01;Wandhaken Hund, schwarz;Wandhaken in Form eines Hunde-Hinterteils mit aufgestelltem Schwanz, schwarz, mit einer Schraube befestigt.;Deko;;;Flur;21;Stück;gebraucht;;F-251;C;ja;ja;6,00;VHB;Versand möglich;21 Haken – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;
NE01-23;;;NE01;Wandhaken Hund, grün;Wandhaken in Form eines Hunde-Hinterteils mit aufgestelltem Schwanz, hellgrün, mit einer Schraube befestigt.;Deko;;;Flur;11;Stück;gebraucht;;F-252;C;ja;ja;6,00;VHB;Versand möglich;11 Haken – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;
